,Comments,Praise,Problem,Solution,Mitigation,Neutrality,Localization,Summary
788,At the moment I cannot hear the sound files of any of the programs because I am not on a Mac I think. Patch appears to be working correctly based on the buttons lighting up.,0.0,4.0,0.0,0.0,0.0,4.0,0.0
924,The look of the patch is very organized and easy to understand.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
925,My experience with the patch is that it's very goofy. It was difficult to find the key because it wasn't a letter. So I just pressed every key till I could find it.,0.0,3.0,0.0,0.0,0.0,4.0,0.0
926,"No, while the assignment was very organized and clean, they didn't really do anything exciting. I didn't learn anything from it. They couldve added extra sounds to make it better.",1.0,3.0,3.0,0.0,0.0,4.0,2.0
998,0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
1018,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1064,"I think that the patch that you made is really clean, and well organized. I also saw that you have a decibel meter to measure the sound, which is really cool to me.",3.0,0.0,0.0,0.0,0.0,0.0,0.0
1083,At the moment I cannot hear the sound files of any of the programs because I am not on a Mac I think. Patch appears to be working correctly based on the buttons lighting up.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1091,Looks very basic.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1093,They did the basic requirement.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1193,"I think that the patch that you made is really clean, and well organized. I also saw that you have a decibel meter to measure the sound, which is really cool to me.",3.0,0.0,0.0,0.0,0.0,4.0,0.0
1196,Looks very basic.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1198,They did the basic requirement.,0.0,0.0,0.0,0.0,4.0,0.0,0.0
1217,The look of the patch is very organized and easy to understand.,2.0,0.0,0.0,2.0,4.0,0.0,0.0
1218,My experience with the patch is that it's very goofy. It was difficult to find the key because it wasn't a letter. So I just pressed every key till I could find it.,0.0,3.0,1.0,0.0,0.0,4.0,2.0
1219,"No, while the assignment was very organized and clean, they didn't really do anything exciting. I didn't learn anything from it. They couldve added extra sounds to make it better.",1.0,1.0,2.0,0.0,0.0,0.0,2.0
1220,Looks very basic.,0.0,0.0,0.0,0.0,4.0,0.0,0.0
